0,alexnet,8,23349,1
1,gnmt,126,26435,1
2,res50,185,13451,1
3,shufflenet,287,26088,1
4,lstm,512,184737,1
5,res18,655,19491,1
6,gnmt,719,24992,1
7,transformer,845,9931,1
8,lstm,1025,669922,1
9,res50,1093,24398,1
10,gnmt,1183,218070,1
11,transformer,1330,4050,1
12,mobilenet,1484,31204,1
13,lstm,1536,215513,1
14,gnmt,1659,208792,1
15,shufflenet,1977,43174,1
16,transformer,2093,26619,1
17,lstm,2171,614892,1
18,alexnet,2797,42043,1
19,gnmt,3359,206272,1
20,transformer,3368,3147,1
21,res18,3413,5772,1
22,lstm,3549,294814,1
23,gnmt,3629,29987,1
24,transformer,3834,6560,1
25,res50,3888,3940,1
26,lstm,4090,1490778,1
27,gnmt,4158,64283,1
28,mobilenet,4184,14322,1
29,transformer,4186,6784,1
30,lstm,4385,316106,1
31,shufflenet,4399,14924,1
32,gnmt,4577,226032,1
33,transformer,4589,3049,1
34,alexnet,5057,5857,1
35,lstm,5182,1512405,1
36,gnmt,5238,182770,1
37,transformer,5306,7042,1
38,res18,5373,36621,1
39,lstm,5410,304358,1
40,gnmt,5515,28954,1
41,res50,5644,19225,1
42,transformer,5764,4692,1
43,lstm,6152,2181040,1
44,mobilenet,6200,2978,1
45,gnmt,6264,67052,1
46,transformer,6378,7485,1
47,shufflenet,6417,7428,1
48,lstm,6419,2200804,1
49,gnmt,6430,35031,1
50,alexnet,6443,16623,1
51,transformer,6852,9750,1
52,res18,6927,54606,1
53,deepspeech,7107,6820,1
54,gnmt,7111,142162,1
55,res18,7216,33469,1
56,transformer,7369,4272,1
57,shufflenet,7603,75504,1
58,gnmt,7687,68852,1
59,res50,7700,3458,1
60,transformer,7745,9805,1
61,lstm,7886,584941,1
62,mobilenet,7987,5637,1
63,gnmt,8115,134297,1
64,alexnet,8144,41534,1
65,shufflenet,8262,3525,1
66,lstm,8314,267770,1
67,gnmt,8482,48412,1
68,alexnet,8676,18222,1
69,transformer,9004,3805,1
70,lstm,9005,611733,1
71,res18,9238,22100,1
72,gnmt,9278,25749,1
73,transformer,9319,15205,1
74,lstm,9350,353569,1
75,res50,9425,32811,1
76,gnmt,9677,52064,1
77,transformer,9728,4750,1
78,mobilenet,9744,10356,1
79,lstm,9861,286401,1
80,gnmt,9991,67619,1
81,shufflenet,10117,24813,1
82,transformer,10360,29258,1
83,lstm,10468,804889,1
84,alexnet,10504,4288,1
85,gnmt,10591,205673,1
86,transformer,10606,17246,1
87,lstm,10715,1882957,1
88,res18,10734,7998,1
89,gnmt,10837,46344,1
90,transformer,10997,13348,1
91,res50,11093,25453,1
92,lstm,11103,376756,1
93,gnmt,11477,177296,1
94,mobilenet,11626,7507,1
95,transformer,11651,5378,1
96,lstm,11694,1445520,1
97,shufflenet,11868,22419,1
98,gnmt,12006,17764,1
99,transformer,12039,41618,1
